id,model_type,model_id,uuid,collection_name,name,file_name,mime_type,disk,conversions_disk,size,manipulations,custom_properties,generated_conversions,responsive_images,order_column,created_at,updated_at
34,App\Models\Product,25,cfb44b19-90ff-4242-ad6e-13bcd10758a4,product,product,product.png,image/png,public,public,5539,[],[],[],[],33,2023-07-17 15:41:55,2023-07-17 15:41:55
35,App\Models\Blog,9,6a856012-1dd8-4ad2-b3bb-3c459de3b873,blog,free invoicing software for business,free-invoicing-software-for-business.jpg,image/jpeg,public,public,74523,[],[],[],[],34,2023-07-17 18:52:52,2023-07-17 18:52:52
39,App\Models\Blog,12,2b1d49a5-ad48-475a-97c4-4ffd9fa8daf2,blog,Enhancing Your Business,Enhancing-Your-Business.jpg,image/jpeg,public,public,251357,[],[],[],[],37,2023-08-04 14:50:43,2023-08-04 14:50:43
40,App\Models\Product,28,8b92f1cf-8510-4da5-9aeb-a6c439f8bba9,product,cws logo,cws-logo.png,image/png,public,public,80319,[],[],[],[],38,2023-08-07 12:28:03,2023-08-07 12:28:03
42,App\Models\Blog,13,71242bcc-da9a-4e52-88ce-105c02a93f79,blog,Effective Payment Reminders,Effective-Payment-Reminders.jpg,image/jpeg,public,public,446562,[],[],[],[],40,2023-08-07 18:41:55,2023-08-07 18:41:55
43,App\Models\Blog,14,dea7809e-b333-47ec-a3bd-aa91bd514e61,blog,professional invoicing,professional-invoicing.jpg,image/jpeg,public,public,488732,[],[],[],[],41,2023-08-10 23:00:59,2023-08-10 23:00:59
45,App\Models\Setting,1358,ae8472fa-cb9b-4195-bf10-afa276c07f89,settings,cws logo,brand-logo-d76e061ad5a86e65b1670a0e7968ecde.png,image/png,public,public,80319,[],[],[],[],42,2023-08-16 13:32:23,2023-08-16 13:32:23
46,App\Models\Setting,1422,55408cff-281f-450f-bbed-38a7f824b7f1,settings,cws logo,brand-logo-21b41fa9df9b233eed94beeaebf4258c.png,image/png,public,public,80319,[],[],[],[],43,2023-08-16 13:37:57,2023-08-16 13:37:57
47,App\Models\Blog,15,e92629f4-2f25-400c-a64b-865e55da945e,blog,invoicing,invoicing.jpg,image/jpeg,public,public,229654,[],[],[],[],44,2023-08-17 21:52:33,2023-08-17 21:52:33
48,App\Models\Setting,1550,e04aefa1-eaa4-4c46-9864-cc38018e8659,settings,cws logo,brand-logo-7a0fff54452bc83f03cf3338d9fc1b17.png,image/png,public,public,80319,[],[],[],[],45,2023-08-22 15:29:43,2023-08-22 15:29:43
50,App\Models\Product,29,e27727b6-5f2d-4717-b611-10a977090ccb,product,Untitled76,Untitled76.jpg,image/jpeg,public,public,6093,[],[],[],[],47,2023-08-22 17:52:23,2023-08-22 17:52:23
51,App\Models\User,102,00806f34-6bb2-43d4-ba16-4c8f104f4f37,profile,Untitled,Untitled.jpg,image/jpeg,public,public,7462,[],[],[],[],48,2023-08-22 17:53:05,2023-08-22 17:53:05
52,App\Models\User,104,f3b9d9b3-bc69-4071-abb4-4a9a9534cc2c,profile,istockphoto-501533193-612x612,istockphoto-501533193-612x612.jpg,image/jpeg,public,public,63119,[],[],[],[],49,2023-08-22 17:55:41,2023-08-22 17:55:41
54,App\Models\Setting,1614,1a31e8c5-459a-4818-a3ae-9171d235e4de,settings,Untitled23,brand-logo-93947bec571964f19269037ae383f581.png,image/jpeg,public,public,3615,[],[],[],[],51,2023-08-31 13:42:40,2023-08-31 13:42:40
55,App\Models\User,106,f364f9ca-31f4-4a61-881e-b4bc126ec2c9,profile,cws logo,cws-logo.png,image/png,public,public,80319,[],[],[],[],52,2023-08-31 14:25:16,2023-08-31 14:25:16
56,App\Models\User,105,cbac0248-8368-47db-97fa-2a4296b49ce2,profile,cws logo,cws-logo.png,image/png,public,public,80319,[],[],[],[],53,2023-08-31 14:26:04,2023-08-31 14:26:04
57,App\Models\Blog,16,38cbc51f-38f5-43af-a704-7f66b48bba92,blog,online invoicing tool,online-invoicing-tool.jpg,image/jpeg,public,public,440867,[],[],[],[],54,2023-08-31 14:35:16,2023-08-31 14:35:16
58,App\Models\User,9,3d42aa00-851d-4d64-b5bd-6306a28100ee,profile,cwslogo,cwslogo.jpeg,image/jpeg,public,public,3250,[],[],[],[],55,2023-08-31 19:05:29,2023-08-31 19:05:29
59,App\Models\User,124,185acf21-d369-4a1b-9d5d-b8733688b358,profile,images (1),images-(1).png,image/png,public,public,8867,[],[],[],[],56,2023-09-04 12:02:46,2023-09-04 12:02:46
60,App\Models\User,111,849d0e27-8418-4bbc-8cee-c7ac5acdf158,profile,GettyImages-4,GettyImages-4.webp,image/webp,public,public,39382,[],[],[],[],57,2023-09-04 12:24:18,2023-09-04 12:24:18
62,App\Models\Blog,17,3d23fbe5-213a-40ad-9aa6-b3794cbd91b3,blog,Free-Invoice-Generator_banner,Free-Invoice-Generator_banner.png,image/png,public,public,70042,[],[],[],[],59,2023-09-08 11:59:52,2023-09-08 11:59:52
64,App\Models\Blog,18,80bd87e9-df77-40a8-8c6a-4d75b472eb9b,blog,protect online invoicing,protect-online-invoicing.jpg,image/jpeg,public,public,175403,[],[],[],[],60,2023-09-11 20:32:50,2023-09-11 20:32:50
65,App\Models\User,241,35d6501f-5651-4a8f-8aa5-18fa1cf2ee4b,profile,Screenshot_20230914_131909,Screenshot_20230914_131909.jpg,image/jpeg,public,public,784102,[],[],[],[],61,2023-09-14 13:19:26,2023-09-14 13:19:26
66,App\Models\Blog,19,44c028c0-5cbe-4448-9b6b-5a241c52fd2a,blog,5 features of invoicing,5-features-of-invoicing.jpg,image/jpeg,public,public,142577,[],[],[],[],62,2023-09-14 13:20:49,2023-09-14 13:20:49
67,App\Models\User,249,629b92da-0d62-48c9-be00-8731bc6c58d4,profile,1d59742d-ab3a-4464-942d-3452697b86a3,1d59742d-ab3a-4464-942d-3452697b86a3.jpeg,image/jpeg,public,public,13099,[],[],[],[],63,2023-09-14 17:17:45,2023-09-14 17:17:45
68,App\Models\User,276,a8fa7b5f-a416-4fe3-a515-84b8b4bdae22,profile,mahesh-digitals-high-resolution-color-logo,mahesh-digitals-high-resolution-color-logo.png,image/png,public,public,26600,[],[],[],[],64,2023-09-17 06:18:33,2023-09-17 06:18:33
69,App\Models\Blog,20,e8a174b8-b756-4dff-888d-649602dc1df9,blog,PAYMENT REMINDERS,PAYMENT-REMINDERS.jpg,image/jpeg,public,public,122149,[],[],[],[],65,2023-09-18 16:28:21,2023-09-18 16:28:21
70,App\Models\User,451,ee188686-4fbc-4241-ba6c-cae76bdc73e2,profile,IMG_20230726_184151,IMG_20230726_184151.jpg,image/jpeg,public,public,184727,[],[],[],[],66,2023-09-21 14:06:46,2023-09-21 14:06:46
71,App\Models\User,473,a38b5e78-1123-469b-8f5e-43ba565aed52,profile,IMG_8955,IMG_8955.png,image/png,public,public,5864,[],[],[],[],67,2023-09-21 19:42:07,2023-09-21 19:42:07
72,App\Models\User,549,bf6a0ad1-c0af-4d89-ba78-9551f3a792db,profile,380884531_2588427301309204_4404413801746875743_n,380884531_2588427301309204_4404413801746875743_n.jpg,image/jpeg,public,public,240774,[],[],[],[],68,2023-09-24 22:16:35,2023-09-24 22:16:35
73,App\Models\Blog,21,c4de986c-70aa-4c4d-b184-fa8cc0bdd917,blog,free invoicing software online,free-invoicing-software-online.jpg,image/jpeg,public,public,235947,[],[],[],[],69,2023-09-25 17:58:41,2023-09-25 17:58:41
74,App\Models\User,1,58a9b53f-7a4b-483e-8581-fdfaa660d458,profile,500x500 pixels-1 (1),500x500-pixels-1-(1).jpg,image/jpeg,public,public,163095,[],[],[],[],70,2023-09-26 21:10:44,2023-09-26 21:10:44
76,App\Models\Setting,18482,39d8a277-785d-4124-bdeb-5993ee8d9e97,settings,Untitled design (1),brand-logo-4bbd3b054bdb380c619a4f5d6c74c8df.png,image/png,public,public,13276,[],[],[],[],72,2023-09-28 16:18:53,2023-09-28 16:18:53
77,App\Models\Setting,18505,2da7e5e1-0963-40d8-93a0-aab3e5992ca4,settings,Untitled design (2),brand-logo-883cf6ff91059bbb98e0e1a9a4d40669.png,image/png,public,public,147709,[],[],[],[],73,2023-09-28 16:18:53,2023-09-28 16:18:53
78,App\Models\Product,39,0c7fad97-f9b5-4429-9df1-678cf46d7406,product,Screenshot_20230920-120050,Screenshot_20230920-120050.png,image/png,public,public,63970,[],[],[],[],74,2023-09-29 20:28:01,2023-09-29 20:28:01
79,App\Models\Product,40,443a527b-7992-4bb5-91d0-6f5d29c57cca,product,1000029115,1000029115.jpg,image/png,public,public,228796,[],[],[],[],75,2023-10-03 17:37:48,2023-10-03 17:37:48
80,App\Models\Product,42,2b2ba316-f76d-4aaa-a177-c9390f88cf9c,product,1000029666,1000029666.jpg,image/jpeg,public,public,47158,[],[],[],[],76,2023-10-03 17:43:17,2023-10-03 17:43:17
81,App\Models\Product,43,293a5434-8f0b-4aa8-a2d7-051ef4f8b984,product,1000029077,1000029077.jpg,image/jpeg,public,public,56596,[],[],[],[],77,2023-10-03 17:44:36,2023-10-03 17:44:36
82,App\Models\Blog,22,70943b24-bdfb-4d71-bac1-46582cbf93d4,blog,freelancers invoice,freelancers-invoice.avif,image/avif,public,public,18758,[],[],[],[],78,2023-10-03 22:45:46,2023-10-03 22:45:46
83,App\Models\User,798,05104a96-195a-4f45-801d-bf0269c299ca,profile,download (1),download-(1).jpg,image/jpeg,public,public,8662,[],[],[],[],79,2023-10-04 17:16:55,2023-10-04 17:16:55
84,App\Models\Blog,23,8bae48b5-c4d3-4007-8da3-7b79432027e7,blog,online billing software 4 u,online-billing-software-4-u.jpg,image/jpeg,public,public,118961,[],[],[],[],80,2023-10-05 15:43:20,2023-10-05 15:43:20
85,App\Models\Blog,24,a0027301-5ab7-4b30-ba88-c04b64928a26,blog,online invoicing,online-invoicing.jpg,image/jpeg,public,public,269913,[],[],[],[],81,2023-10-09 17:42:23,2023-10-09 17:42:23
86,App\Models\Blog,25,12d3d09e-f214-4ed9-a480-a58dc406ebac,blog,billing payment,billing-payment.jpg,image/jpeg,public,public,274125,[],[],[],[],82,2023-10-10 21:44:14,2023-10-10 21:44:14
87,App\Models\User,924,d91b11e6-782d-4734-83bb-10ea5fd45b36,profile,ico-starting-price-2x,ico-starting-price-2x.png,image/png,public,public,1998,[],[],[],[],83,2023-10-11 18:26:36,2023-10-11 18:26:36
88,App\Models\Blog,26,43823e23-0d8b-4e96-9a04-4565c450bc60,blog,benefits of integrating work hours,benefits-of-integrating-work-hours.jpg,image/jpeg,public,public,335174,[],[],[],[],84,2023-10-16 12:30:46,2023-10-16 12:30:46
89,App\Models\Setting,26418,69c94ec0-c66c-457d-8813-c028f1072b80,settings,IMG-20231015-WA0052,brand-logo-d35e1c2a88274b0e0f760289c3207ce6.png,image/jpeg,public,public,148819,[],[],[],[],85,2023-10-16 21:16:28,2023-10-16 21:16:28
90,App\Models\Setting,26441,200d01ed-66a8-477f-bf6f-66b933717a2c,settings,IMG-20231015-WA0052,brand-logo-406707abe21e0a4ccfe0f3992df5a649.png,image/jpeg,public,public,148819,[],[],[],[],86,2023-10-16 21:16:28,2023-10-16 21:16:28
91,App\Models\Blog,27,8ea04ea7-196f-4daf-9c7f-0da8bd54b512,blog,the future of invocing,the-future-of-invocing.jpg,image/jpeg,public,public,506220,[],[],[],[],87,2023-10-17 16:07:19,2023-10-17 16:07:19
92,App\Models\Blog,28,9dbb4c90-e3ad-4d84-856f-bb162ff98274,blog,Seamless Billing online,Seamless-Billing-online.jpg,image/jpeg,public,public,30857,[],[],[],[],88,2023-10-18 21:50:33,2023-10-18 21:50:33
93,App\Models\Blog,29,c640c2a1-d335-4c9f-a7f6-0e2c55114327,blog,online invoice creation,online-invoice-creation.jpg,image/jpeg,public,public,272098,[],[],[],[],89,2023-10-19 20:03:09,2023-10-19 20:03:09
94,App\Models\Blog,30,0a0a5774-a95a-4ce2-a996-f0fc306ef4de,blog,automated reminders,automated-reminders.jpg,image/jpeg,public,public,91894,[],[],[],[],90,2023-10-20 17:37:16,2023-10-20 17:37:16
95,App\Models\Blog,31,36483bd7-fb21-435c-bef6-e48c6ee6aa3f,blog,manage outstanding invoices,manage-outstanding-invoices.jpg,image/jpeg,public,public,347368,[],[],[],[],91,2023-10-23 19:52:49,2023-10-23 19:52:49
96,App\Models\Blog,32,a17009c7-42f1-4b2c-955c-139fe76dd4f2,blog,invoices for businesses,invoices-for-businesses.jpg,image/jpeg,public,public,42788,[],[],[],[],92,2023-10-25 22:34:03,2023-10-25 22:34:03
97,App\Models\Blog,33,7f9f92ee-94ac-4b27-825f-250682121536,blog,recurring invoices,recurring-invoices.jpg,image/jpeg,public,public,386105,[],[],[],[],93,2023-10-26 22:27:53,2023-10-26 22:27:53
98,App\Models\Blog,34,0627e31d-c51a-4436-9c79-702e4867e08f,blog,online billing software for small businesses,online-billing-software-for-small-businesses.jpg,image/jpeg,public,public,142499,[],[],[],[],94,2023-10-30 13:08:18,2023-10-30 13:08:18
99,App\Models\Blog,35,915355ac-7827-4be8-8c93-50aab4ea71d1,blog,invoice generator for free,invoice-generator-for-free.jpg,image/jpeg,public,public,185395,[],[],[],[],95,2023-10-31 14:13:41,2023-10-31 14:13:41
100,App\Models\User,997,999b593a-7508-4c1f-b069-d1ee50726cad,profile,638025,638025.webp,image/webp,public,public,274862,[],[],[],[],96,2023-11-01 18:12:55,2023-11-01 18:12:55
101,App\Models\User,927,23327bb0-cbca-4f32-be3b-a6407f761391,profile,download (3),download-(3).jpg,image/jpeg,public,public,9981,[],[],[],[],97,2023-11-01 18:13:14,2023-11-01 18:13:14
102,App\Models\Blog,36,ade09f61-153a-40e4-a4f4-eaf6a52f0ef1,blog,gst billing software for free billingbee,gst-billing-software-for-free-billingbee.jpg,image/jpeg,public,public,151163,[],[],[],[],98,2023-11-14 13:26:25,2023-11-14 13:26:25
103,App\Models\Blog,37,0cf2fe09-90ae-44f3-8683-b46879e61f5a,blog,mastering create online invoices,mastering-create-online-invoices.jpg,image/jpeg,public,public,649290,[],[],[],[],99,2023-11-16 18:58:21,2023-11-16 18:58:21
104,App\Models\User,1002,d70bf466-5a11-47ab-9b60-517d01dfcbb3,profile,4343,4343.jpg,image/jpeg,public,public,3651,[],[],[],[],100,2023-11-17 16:25:47,2023-11-17 16:25:47
105,App\Models\Blog,38,405c96f4-c5e9-457c-8897-a2eb6467295c,blog,free billing software,free-billing-software.jpg,image/jpeg,public,public,141356,[],[],[],[],101,2023-11-21 17:13:20,2023-11-21 17:13:20
106,App\Models\User,1048,2ba6c038-6a42-4954-94e9-80ef04d3849a,profile,2,2.jpg,image/jpeg,public,public,217149,[],[],[],[],102,2023-11-22 17:30:39,2023-11-22 17:30:39
107,App\Models\Blog,39,f967edb1-6a0a-4ffa-ae2a-ba009535f23a,blog,top 5 benefits of invoicing,top-5-benefits-of-invoicing.jpg,image/jpeg,public,public,223002,[],[],[],[],103,2023-11-23 23:26:11,2023-11-23 23:26:11
108,App\Models\Product,60,8dd7607b-8d25-4a9a-ae06-467dc6440ff3,product,IMG-20231106-WA0020,IMG-20231106-WA0020.jpg,image/jpeg,public,public,133682,[],[],[],[],104,2023-11-26 21:47:26,2023-11-26 21:47:26
109,App\Models\Blog,40,273ea715-2851-488c-8d84-c3e074032c54,blog,billing software in garments business,billing-software-in-garments-business.jpg,image/jpeg,public,public,262429,[],[],[],[],105,2023-11-27 19:21:43,2023-11-27 19:21:43
110,App\Models\User,1194,39a5409a-824f-4da2-94af-0a4e53cc1844,profile,WhatsApp Image 2023-09-08 at 6.5 (1),WhatsApp-Image-2023-09-08-at-6.5-(1).jpg,image/jpeg,public,public,9073,[],[],[],[],106,2023-12-01 04:00:33,2023-12-01 04:00:33
111,App\Models\User,1211,0b08f72a-18ae-4e7a-b482-933757e2be27,profile,gyroscope-01-2x,gyroscope-01-2x.jpg,image/jpeg,public,public,72232,[],[],[],[],107,2023-12-01 18:56:58,2023-12-01 18:56:58
112,App\Models\User,1250,9e792f48-32b7-4046-a049-01229644ac09,profile,4998,4998.JPG,image/jpeg,public,public,30425,[],[],[],[],108,2023-12-03 00:55:22,2023-12-03 00:55:22
113,App\Models\User,1206,3db0a372-acfd-4a3e-ba0c-da507129c210,profile,WhatsApp Image 2023-12-01 at 5.10.23 AM,WhatsApp-Image-2023-12-01-at-5.10.23-AM.jpeg,image/jpeg,public,public,73136,[],[],[],[],109,2023-12-03 13:24:15,2023-12-03 13:24:15
114,App\Models\User,1273,56086a66-b029-411f-b94b-359dd9a80600,profile,LOGO 2,LOGO-2.png,image/png,public,public,48381,[],[],[],[],110,2023-12-04 11:17:13,2023-12-04 11:17:13
118,App\Models\User,1280,d003d2d0-91a6-4e77-9299-6559aaf3a72a,profile,aaaa,aaaa.png,image/png,public,public,4683,[],[],[],[],113,2023-12-06 00:22:01,2023-12-06 00:22:01
119,App\Models\Setting,35154,9ebe0673-7d80-4983-b496-66c1b9b1d460,settings,aaaa,brand-logo-4f7d6dad70bb6c83ea63611f4a7bf09a.png,image/png,public,public,4683,[],[],[],[],114,2023-12-06 00:22:36,2023-12-06 00:22:36
120,App\Models\Setting,35177,e659d79f-cfc2-4b39-8a09-b3dcf4b80761,settings,aaaa,brand-logo-5823806e752e0b9af7bf08e7e4e64bc0.png,image/png,public,public,4683,[],[],[],[],115,2023-12-06 00:22:36,2023-12-06 00:22:36
121,App\Models\Product,68,e3d5cb40-2e62-4d4d-bb78-40d48086db18,product,kk 03,kk-03.jpeg,image/jpeg,public,public,208446,[],[],[],[],116,2023-12-06 11:38:22,2023-12-06 11:38:22
122,App\Models\User,549,e89488fc-8e1b-48b6-923d-2a34cc27d53f,profile,Screenshot_20231208-002237,Screenshot_20231208-002237.png,image/png,public,public,84009,[],[],[],[],117,2023-12-08 01:19:53,2023-12-08 01:19:53
123,App\Models\Product,70,f85c37c9-d2a2-4606-9b61-dbdf75615fb3,product,WhatsApp Image 2023-04-20 at 20.36.02,WhatsApp-Image-2023-04-20-at-20.36.02.jpeg,image/jpeg,public,public,49310,[],[],[],[],118,2023-12-08 18:14:40,2023-12-08 18:14:40
124,App\Models\Product,71,12f4761d-62aa-4555-b2d6-9f264562d3ff,product,Chicken-Breast-Boneless-(3-4-Pieces)-Hero-Shot_(1),Chicken-Breast-Boneless-(3-4-Pieces)-Hero-Shot_(1).jpg,image/jpeg,public,public,35587,[],[],[],[],119,2023-12-08 18:15:35,2023-12-08 18:15:35
125,App\Models\Product,72,019bf7a6-1bf5-46cb-8856-b72ca64ce078,product,WhatsApp Image 2023-04-20 at 20.36.01,WhatsApp-Image-2023-04-20-at-20.36.01.jpeg,image/jpeg,public,public,24135,[],[],[],[],120,2023-12-08 18:16:07,2023-12-08 18:16:07
126,App\Models\Product,73,bc43367c-4254-45db-afd4-3a36f33495e9,product,egg,egg.jpeg,image/jpeg,public,public,4376,[],[],[],[],121,2023-12-08 18:17:10,2023-12-08 18:17:10
127,App\Models\Product,74,6f57ffbb-a6a2-42a1-9a12-051797db3acf,product,BEEF CUBE,BEEF-CUBE.webp,image/webp,public,public,77298,[],[],[],[],122,2023-12-08 18:18:05,2023-12-08 18:18:05
128,App\Models\Product,75,86d4db20-ef4f-4691-9119-7cbec13140a8,product,MUTTON,MUTTON.jpg,image/jpeg,public,public,9379,[],[],[],[],123,2023-12-08 18:18:55,2023-12-08 18:18:55
129,App\Models\Product,77,2add2edb-7cbd-4a9e-9332-8a722aa653d5,product,GOAT LEGS,GOAT-LEGS.jpg,image/jpeg,public,public,4236,[],[],[],[],124,2023-12-08 18:19:58,2023-12-08 18:19:58
130,App\Models\Product,78,0efd47d3-9f38-44ad-af15-6320644a5509,product,ribs,ribs.jpg,image/jpeg,public,public,8238,[],[],[],[],125,2023-12-08 18:21:15,2023-12-08 18:21:15
131,App\Models\Product,76,c33aa647-0414-4fa1-8829-334b60b70dd8,product,WhatsApp Image 2023-04-20 at 20.36.06 (1),WhatsApp-Image-2023-04-20-at-20.36.06-(1).jpeg,image/jpeg,public,public,24215,[],[],[],[],126,2023-12-08 18:21:44,2023-12-08 18:21:44
132,App\Models\User,1534,e2bfb5ff-b32f-4feb-b50c-3cf1e8646a62,profile,Image_114808183,Image_114808183.png,image/jpeg,public,public,12697,[],[],[],[],127,2023-12-11 16:56:16,2023-12-11 16:56:16
133,App\Models\Blog,41,379e2de7-c411-43ab-86a3-cfe5fa163871,blog,billing software for billing process,billing-software-for-billing-process.jpg,image/jpeg,public,public,98545,[],[],[],[],128,2023-12-11 20:21:43,2023-12-11 20:21:43
134,App\Models\Setting,43154,7fc2716f-37bc-4ecf-9fc3-6c951cb20c3c,settings,IMG_20231128_172948,brand-logo-2020e31952809d9178e9724da24793aa.png,image/jpeg,public,public,79055,[],[],[],[],129,2023-12-11 22:24:06,2023-12-11 22:24:06
135,App\Models\Blog,42,a89b33db-c022-4df1-b6be-b78e0ddf76f3,blog,The Power of Free Invoice Generators,The-Power-of-Free-Invoice-Generators.jpg,image/jpeg,public,public,111028,[],[],[],[],130,2023-12-13 14:59:53,2023-12-13 14:59:53
